agent_id,seq_no,node_id,timestamp,timestamp_in_min,trip_time_in_min,travel_time_in_sec,waiting_time_in_simu_interval,x_coord,y_coord
139,2,4,T0739:39.000,459.64999,16.058319,900.0000,0,19.700000,-9.700000
140,1,1,T0723:46.000,443.76666,0.000000,960.9998,243,0.000000,-0.100000
140,2,4,T0739:47.000,459.78333,16.016663,900.0000,0,19.700000,-9.700000
141,1,1,T0723:53.499,443.89166,0.000000,963.5010,254,0.000000,-0.100000
141,2,4,T0739:57.000,459.95001,16.058350,900.0000,0,19.700000,-9.700000
142,1,1,T0724:03.000,444.04999,0.000000,962.0013,248,0.000000,-0.100000
142,2,4,T0740:05.000,460.08334,16.033356,900.0000,0,19.700000,-9.700000
143,1,1,T0724:08.750,444.14584,0.000000,964.2499,256,0.000000,-0.100000
143,2,4,T0740:13.000,460.21667,16.070831,900.0000,0,19.700000,-9.700000
144,1,1,T0724:16.000,444.26666,0.000000,964.0009,256,0.000000,-0.100000
144,2,4,T0740:20.000,460.33334,16.066681,900.0000,0,19.700000,-9.700000
145,1,1,T0724:25.000,444.41666,0.000000,963.0011,252,0.000000,-0.100000
145,2,4,T0740:28.000,460.46667,16.050018,900.0000,0,19.700000,-9.700000
146,1,1,T0724:36.500,444.60834,0.000000,961.4996,245,0.000000,-0.100000
146,2,4,T0740:38.000,460.63333,16.024994,900.0000,0,19.700000,-9.700000
147,1,1,T0724:40.000,444.66666,0.000000,966.0004,264,0.000000,-0.100000
147,2,4,T0740:46.000,460.76666,16.100006,900.0000,0,19.700000,-9.700000
148,1,1,T0724:49.000,444.81668,0.000000,964.9988,259,0.000000,-0.100000
148,2,4,T0740:54.000,460.89999,16.083313,900.0000,0,19.700000,-9.700000
149,1,1,T0724:58.000,444.96667,0.000000,963.9990,255,0.000000,-0.100000
149,2,4,T0741:02.000,461.03333,16.066650,900.0000,0,19.700000,-9.700000
150,1,1,T0725:04.000,445.06668,0.000000,964.9988,259,0.000000,-0.100000
150,2,4,T0741:09.000,461.14999,16.083313,900.0000,0,19.700000,-9.700000
151,1,1,T0725:18.000,445.29999,0.000000,960.0000,240,0.000000,-0.100000
151,2,4,T0741:18.000,461.29999,16.000000,900.0000,0,19.700000,-9.700000
152,1,1,T0725:27.000,445.45001,0.000000,960.9998,243,0.000000,-0.100000
152,2,4,T0741:28.000,461.46667,16.016663,900.0000,0,19.700000,-9.700000
153,1,1,T0725:28.749,445.47916,0.000000,968.2507,273,0.000000,-0.100000
153,2,4,T0741:37.000,461.61667,16.137512,900.0000,0,19.700000,-9.700000
154,1,1,T0725:38.000,445.63333,0.000000,966.0004,264,0.000000,-0.100000
154,2,4,T0741:44.000,461.73334,16.100006,900.0000,0,19.700000,-9.700000
