stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
AVP,AYLSPWY,Aylesbury Vale Parkway,0,51.83116,-0.86018,,,,,Europe/London,0
AVY,ABDVY,Aberdovey,0,52.54396,-4.05707,,,,,Europe/London,0
AWK,ADWICK,Adwick,1,53.57232,-1.18036,,,,,Europe/London,0
AWL,MNCRAWM,ASHTON WEST MTLK,0,0,0,,,,,Europe/London,0
AWM,ASHWELC,Ashwell & Morden,0,52.03077,-0.10979,,,,,Europe/London,0
AWP,SCARALP,ALPAMARE WATER PARK,0,0,0,,,,,Europe/London,0
AWT,ARMTHWT,Armathwaite,0,54.80947,-2.77207,,,,,Europe/London,0
AXM,AXMNSTR,Axminster,1,50.77927,-3.00472,,,,,Europe/London,0
AXP,ALXPD,Alexandra Parade,0,55.86317,-4.21065,,,,,Europe/London,0
AYH,ALSHAM,Aylesham,0,51.22725,1.20945,,,,,Europe/London,0
AYL,AYLESFD,Aylesford,0,51.30132,0.46617,,,,,Europe/London,0
AYP,ALBNFCL,Albany Park,9,51.43545,0.12574,,,,,Europe/London,0
AYR,AYRR,Ayr,2,55.45814,-4.62588,,,,,Europe/London,0
AYS,AYLSBRY,Aylesbury,1,51.81389,-0.8151,,,,,Europe/London,0
AYW,ABRYSTH,Aberystwyth,0,52.41404,-4.08189,,,,,Europe/London,0
BAA,BRHM,Barnham,2,50.83091,-0.63968,,,,,Europe/London,0
BAB,BALCOMB,Balcombe,0,51.05552,-0.13693,,,,,Europe/London,0
BAC,BACHE,Bache,0,53.20879,-2.89167,,,,,Europe/London,0
BAD,BANSBUS,Banstead,9,51.32935,-0.21316,,,,,Europe/London,0
BAG,BAGSHOT,Bagshot,0,51.36437,-0.68866,,,,,Europe/London,0
BAH,BNKHALL,Bank Hall,0,53.43749,-2.98751,,,,,Europe/London,0
BAI,BLAIRHL,Blairhill,0,55.86645,-4.04329,,,,,Europe/London,0
BAJ,BGLAN,Baglan,0,51.61554,-3.81114,,,,,Europe/London,0
BAK,BATRSPK,Battersea Park,2,51.47696,-0.14753,,,,,Europe/London,0
BAL,BALHAM,Balham,2,51.44322,-0.15242,,,,,Europe/London,0
BAM,BAMFORD,Bamford,0,53.339,-1.68908,,,,,Europe/London,0
BAN,BNBR,Banbury,2,52.06031,-1.32813,,,,,Europe/London,0
BAO,CATZBAO,BALLYMOTE   (CIE,0,0,0,,,,,Europe/Dublin,0
BAR,BARELA,Bare Lane,0,54.07454,-2.83533,,,,,Europe/London,0
BAS,BEREALS,Bere Alston,0,50.48559,-4.20035,,,,,Europe/London,0
BAT,BATTLE,Battle,1,50.91292,0.4947,,,,,Europe/London,0
BAU,BRTHMBR,Barton-on-Humber,1,53.68892,-0.44344,,,,,Europe/London,0
BAV,BARWHVN,Barrow Haven,0,53.69742,-0.39296,,,,,Europe/London,0
BAW,BCKWATR,Blackwater,1,51.33158,-0.77674,,,,,Europe/London,0
BAX,CATZBAX,BALLINA     (CIE,0,0,0,,,,,Europe/Dublin,0
BAY,BAYFORD,Bayford,0,51.75772,-0.09561,,,,,Europe/London,0
BBG,BSHB,Bishopbriggs,0,55.90388,-4.22491,,,,,Europe/London,0
BBK,BILBROK,Bilbrook,0,52.62372,-2.18609,,,,,Europe/London,0
BBL,BATABAL,Bat & Ball,0,51.28976,0.19423,,,,,Europe/London,0
BBN,BLKB,Blackburn,1,53.74652,-2.47912,,,,,Europe/London,0
BBS,BRDS,Bordesley,0,52.47187,-1.87777,,,,,Europe/London,0
BBW,BERRYB,Berry Brow,0,53.62104,-1.79343,,,,,Europe/London,0
BBY,CATZBBY,BALLYBROPHY (CIE,1,0,0,,,,,Europe/Dublin,0
BCB,BRSCGHB,Burscough Bridge,1,53.60526,-2.84088,,,,,Europe/London,0
BCC,BECCLES,Beccles,1,52.45852,1.56949,,,,,Europe/London,0
BCE,BRACKNL,Bracknell,1,51.41309,-0.7517,,,,,Europe/London,0
BCF,BCNSFLD,Beaconsfield,1,51.61129,-0.64382,,,,,Europe/London,0
BCG,BCHGRV,Birchgrove,0,51.52156,-3.20185,,,,,Europe/London,0
BCH,BCNGNOS,Birchington-on-Sea,0,51.37749,1.30141,,,,,Europe/London,0
BCJ,BRSCGHJ,Burscough Junction,1,53.59752,-2.84061,,,,,Europe/London,0
BCK,BCKY,Buckley,0,53.16304,-3.05593,,,,,Europe/London,0
BCN,BRNCHTN,Branchton,0,55.9406,-4.80355,,,,,Europe/London,0
BCS,BCSTN,Bicester North,2,51.90348,-1.15038,,,,,Europe/London,0
BCU,BKNHRST,Brockenhurst,1,50.81684,-1.57353,,,,,Europe/London,0
BCV,BRUCGRV,Bruce Grove,0,51.59396,-0.06987,,,,,Europe/London,0
BCY,BROCKLY,Brockley,0,51.46465,-0.03754,,,,,Europe/London,0
BDA,BRUNDAL,Brundall,1,52.61948,1.4393,,,,,Europe/London,0
BDB,BRBM,Broadbottom,0,53.44097,-2.01652,,,,,Europe/London,0
BDC,BDICK,BRODICK,0,0,0,,,,,Europe/London,0
BDF,BODMNMF,BODMIN MOUNT FOLLY,0,0,0,,,,,Europe/London,0
BDG,BRIDGTN,Bridgeton,1,55.84896,-4.22606,,,,,Europe/London,0
